Date,TIME,OPEN,HIGH,LOW,LAST_PRICE,NUMBER_TICKS,VOLUME
06-04-2016 00:00,11:25:00,1419.8,1421.35,1419.2,1420.55,154,7107
06-04-2016 00:00,11:30:00,1421,1426.35,1420.05,1424,198,18350
06-04-2016 00:00,11:35:00,1423.8,1424.8,1422.65,1423.3,194,10073
06-04-2016 00:00,11:40:00,1423.5,1424,1420,1424,156,9614
06-04-2016 00:00,11:45:00,1424,1424.5,1422.9,1424.45,100,3932
06-04-2016 00:00,11:50:00,1423,1424.5,1422.95,1424.45,106,6010
06-04-2016 00:00,11:55:00,1424.45,1424.45,1422.9,1423,43,1169
06-04-2016 00:00,12:00:00,1423.5,1424.5,1423.5,1424,67,2928
06-04-2016 00:00,12:05:00,1424,1428.7,1423,1427,98,14595
06-04-2016 00:00,12:10:00,1428,1428.9,1425,1426,119,18506
06-04-2016 00:00,12:15:00,1425.55,1427.55,1424.8,1427,102,5513
06-04-2016 00:00,12:20:00,1426.9,1427,1425.45,1426.4,78,3126
06-04-2016 00:00,12:25:00,1426.5,1427.45,1425.5,1427.3,51,2374
06-04-2016 00:00,12:30:00,1426.55,1427,1424.25,1424.25,72,2605
06-04-2016 00:00,12:35:00,1425.35,1426.05,1424,1425.75,69,2352
06-04-2016 00:00,12:40:00,1425.95,1427.45,1424.65,1427.15,112,3473
06-04-2016 00:00,12:45:00,1427.45,1428.4,1425.8,1428.35,97,10319
06-04-2016 00:00,12:50:00,1428.35,1433.2,1428,1431.9,213,16549
06-04-2016 00:00,12:55:00,1431.9,1431.9,1429.05,1430.7,126,3296
06-04-2016 00:00,13:00:00,1431.1,1431.3,1428,1429.05,158,4902
06-04-2016 00:00,13:05:00,1429.15,1430.95,1428,1430.6,116,6238
06-04-2016 00:00,13:10:00,1429.95,1430.6,1429,1429.8,92,1571
06-04-2016 00:00,13:15:00,1430,1430.9,1428.55,1429.1,88,2285
06-04-2016 00:00,13:20:00,1429.05,1430.6,1427,1430.15,125,3434
06-04-2016 00:00,13:25:00,1430.15,1430.9,1428.25,1430.5,84,2567
06-04-2016 00:00,13:30:00,1430.5,1430.85,1429.1,1429.4,112,2148
06-04-2016 00:00,13:35:00,1430.55,1430.7,1428.5,1429.75,167,1766
06-04-2016 00:00,13:40:00,1429.3,1431.2,1428.8,1429.45,123,3552
06-04-2016 00:00,13:45:00,1430,1430,1424,1424.05,192,6628
06-04-2016 00:00,13:50:00,1424.05,1425.35,1422.5,1424.5,86,2989
06-04-2016 00:00,13:55:00,1424.5,1424.5,1420.2,1421.95,138,4998
06-04-2016 00:00,14:00:00,1422.65,1428,1422,1426.2,255,5225
06-04-2016 00:00,14:05:00,1426.2,1428.5,1423.65,1424.6,153,3613
